"id","date","state_name","state_code","cgst","sgst","igst","cess"
122,"2017-10-01","Madhya Pradesh","23",355.14,577.07,587.78,407.24
123,"2017-10-01","Maharashtra","27",3559.82,4938.9,4765.38,1056.37
124,"2017-10-01","Manipur","14",6.31,12.26,0.92,0.01
125,"2017-10-01","Meghalaya","17",10.6,16.69,38.04,0.1
126,"2017-10-01","Mizoram","15",3.93,5.55,0.99,0.0
127,"2017-10-01","Nagaland","13",3.73,5.69,5.17,0.12
128,"2017-10-01","Odisha","21",321.88,529.86,481.14,468.05
129,"2017-10-01","Other Territory","97",19.87,19.76,23.55,0.0
130,"2017-10-01","Puducherry","34",19.87,31.53,91.34,1.49
131,"2017-10-01","Punjab","03",263.8,477.63,522.09,13.49
132,"2017-10-01","Rajasthan","08",530.78,808.66,759.75,156.55
133,"2017-10-01","Sikkim","11",10.16,13.36,116.72,0.08
134,"2017-10-01","Tamil Nadu","33",1457.13,2132.29,1913.92,589.61
135,"2017-10-01","Telangana","36",565.15,847.61,853.96,492.04
136,"2017-10-01","The Dadra And Nagar Haveli And Daman And Diu","38",22.11,34.41,236.14,0.21
137,"2017-10-01","Tripura","16",23.62,30.54,2.89,0.16
138,"2017-10-01","Uttar Pradesh","09",928.42,1477.13,1340.51,930.65
139,"2017-10-01","Uttarakhand","05",143.5,278.72,1240.62,22.97
140,"2017-10-01","West Bengal","19",693.87,1042.51,708.67,339.52
141,"2017-11-01","Andaman And Nicobar Islands","35",10.2,11.63,1.27,0.03
142,"2017-11-01","Andhra Pradesh","28",389.38,588.89,669.29,20.01
143,"2017-11-01","Arunachal Pradesh","12",2.98,4.86,3.37,0.0
144,"2017-11-01","Assam","18",150.31,227.85,226.84,49.07
145,"2017-11-01","Bihar","10",142.18,285.17,76.03,88.93
146,"2017-11-01","Chandigarh","04",30.33,45.77,68.62,0.58
147,"2017-11-01","Chhattisgarh","22",209.82,302.4,467.79,523.72
148,"2017-11-01","Delhi","07",678.45,951.49,1489.96,111.64
149,"2017-11-01","Goa","30",81.77,114.97,145.41,2.48
150,"2017-11-01","Gujarat","24",1330.45,1748.09,1984.66,324.13
151,"2017-11-01","Haryana","06",641.97,1063.17,2589.71,373.72
152,"2017-11-01","Himachal Pradesh","02",70.49,117.78,460.08,1.05
153,"2017-11-01","Jammu And Kashmir","01",66.27,120.32,99.53,12.83
154,"2017-11-01","Jharkhand","20",206.72,333.96,830.19,437.43
155,"2017-11-01","Karnataka","29",1151.04,1709.72,1755.08,580.25
156,"2017-11-01","Kerala","32",410.37,611.52,215.74,11.9
157,"2017-11-01","Lakshadweep","31",0.79,0.8,0.06,0.0
158,"2017-11-01","Madhya Pradesh","23",363.71,586.45,498.79,425.0
159,"2017-11-01","Maharashtra","27",3206.99,4347.12,3866.25,852.76
160,"2017-11-01","Manipur","14",4.14,6.37,0.92,0.01
161,"2017-11-01","Meghalaya","17",11.9,16.32,32.72,0.09
162,"2017-11-01","Mizoram","15",2.87,4.83,0.74,0.04
163,"2017-11-01","Nagaland","13",3.48,5.46,3.44,0.06
164,"2017-11-01","Odisha","21",308.62,444.02,523.61,508.13
165,"2017-11-01","Other Territory","97",8.05,11.44,21.65,0.0
166,"2017-11-01","Puducherry","34",20.59,31.73,121.94,0.15
167,"2017-11-01","Punjab","03",245.96,442.91,504.93,11.14
168,"2017-11-01","Rajasthan","08",537.63,764.66,738.85,141.36
169,"2017-11-01","Sikkim","11",10.36,13.75,121.74,0.1
170,"2017-11-01","Tamil Nadu","33",1288.16,1912.97,1494.64,539.94
171,"2017-11-01","Telangana","36",496.81,750.62,801.86,394.1
172,"2017-11-01","The Dadra And Nagar Haveli And Daman And Diu","38",20.03,31.32,233.46,0.27
173,"2017-11-01","Tripura","16",12.88,19.43,2.7,0.28
174,"2017-11-01","Uttar Pradesh","09",838.12,1358.37,1197.47,774.11
175,"2017-11-01","Uttarakhand","05",143.53,306.87,763.45,24.27
176,"2017-11-01","West Bengal","19",592.9,1000.51,654.31,210.19
177,"2017-12-01","Andaman And Nicobar Islands","35",5.59,8.15,1.02,0.05
178,"2017-12-01","Andhra Pradesh","28",390.48,572.87,608.72,12.84
179,"2017-12-01","Arunachal Pradesh","12",3.33,6.27,2.14,0.15
180,"2017-12-01","Assam","18",135.81,196.87,207.13,49.7
181,"2017-12-01","Bihar","10",139.57,264.52,87.8,174.71
182,"2017-12-01","Chandigarh","04",26.78,37.6,67.46,0.62
183,"2017-12-01","Chhattisgarh","22",233.07,303.7,445.13,600.4
184,"2017-12-01","Delhi","07",646.27,859.81,1450.77,93.61
185,"2017-12-01","Goa","30",73.48,111.94,128.19,1.72
186,"2017-12-01","Gujarat","24",1386.71,1790.21,1894.13,301.14
187,"2017-12-01","Haryana","06",603.43,968.19,2168.49,340.26
188,"2017-12-01","Himachal Pradesh","02",74.24,109.68,432.62,1.27
189,"2017-12-01","Jammu And Kashmir","01",86.14,143.67,83.97,0.92
190,"2017-12-01","Jharkhand","20",216.83,328.45,739.07,425.18
191,"2017-12-01","Karnataka","29",1219.43,1684.99,1760.64,903.43
192,"2017-12-01","Kerala","32",395.67,608.44,238.66,6.28
193,"2017-12-01","Lakshadweep","31",0.37,0.38,0.05,0.0
194,"2017-12-01","Madhya Pradesh","23",416.88,599.09,491.69,365.85
195,"2017-12-01","Maharashtra","27",3359.82,4361.38,4151.06,937.74
196,"2017-12-01","Manipur","14",4.39,8.52,0.73,0.08
197,"2017-12-01","Meghalaya","17",8.82,15.12,46.26,0.18
198,"2017-12-01","Mizoram","15",2.04,3.55,0.91,0.08
199,"2017-12-01","Nagaland","13",2.62,4.27,3.0,0.44
200,"2017-12-01","Odisha","21",301.57,400.68,505.74,496.85
201,"2017-12-01","Other Territory","97",7.92,11.78,26.75,0.0
202,"2017-12-01","Puducherry","34",16.9,27.79,116.37,0.09
203,"2017-12-01","Punjab","03",225.83,390.35,455.67,5.62
204,"2017-12-01","Rajasthan","08",546.29,746.48,723.17,132.05
205,"2017-12-01","Sikkim","11",6.53,10.19,147.0,0.02
206,"2017-12-01","Tamil Nadu","33",1229.68,1796.28,1460.74,527.75
207,"2017-12-01","Telangana","36",520.44,741.2,714.8,513.29
208,"2017-12-01","The Dadra And Nagar Haveli And Daman And Diu","38",20.0,31.03,182.31,0.06
209,"2017-12-01","Tripura","16",9.91,16.66,2.79,0.44
210,"2017-12-01","Uttar Pradesh","09",842.9,1317.77,1220.74,1007.36
211,"2017-12-01","Uttarakhand","05",132.39,263.5,778.49,11.8
212,"2017-12-01","West Bengal","19",635.11,957.5,703.87,252.01
213,"2018-01-01","Andaman And Nicobar Islands","35",5.66,7.95,0.87,0.03
214,"2018-01-01","Andhra Pradesh","28",489.06,713.84,697.32,20.58
215,"2018-01-01","Arunachal Pradesh","12",4.72,8.57,3.03,0.14
216,"2018-01-01","Assam","18",141.39,222.14,175.96,38.46
217,"2018-01-01","Bihar","10",136.37,280.74,78.45,146.0
218,"2018-01-01","Cbic","98",0.0,0.0,18.75,0.0
219,"2018-01-01","Chandigarh","04",27.01,41.53,77.64,1.35
220,"2018-01-01","Chhattisgarh","22",279.03,367.35,530.4,597.23
221,"2018-01-01","Delhi","07",825.37,1099.62,1596.28,81.45
222,"2018-01-01","Goa","30",82.76,116.78,103.7,2.27
223,"2018-01-01","Gujarat","24",1532.26,2060.8,1876.07,309.57
224,"2018-01-01","Haryana","06",609.78,965.79,2376.42,310.94
225,"2018-01-01","Himachal Pradesh","02",78.44,125.25,394.38,1.59
226,"2018-01-01","Jammu And Kashmir","01",92.21,144.58,65.21,4.37
227,"2018-01-01","Jharkhand","20",242.19,354.26,883.4,394.44
228,"2018-01-01","Karnataka","29",1257.76,1810.44,2049.01,873.84
229,"2018-01-01","Kerala","32",413.66,698.46,244.36,11.29
230,"2018-01-01","Lakshadweep","31",0.3,0.35,0.03,0.0
231,"2018-01-01","Madhya Pradesh","23",416.18,613.8,489.92,369.97
232,"2018-01-01","Maharashtra","27",3263.95,4450.34,4657.39,984.98
233,"2018-01-01","Manipur","14",3.71,7.59,0.84,0.16
234,"2018-01-01","Meghalaya","17",12.89,21.25,51.61,4.72
235,"2018-01-01","Mizoram","15",2.1,3.69,2.03,0.02
236,"2018-01-01","Nagaland","13",4.04,6.19,4.82,0.38
237,"2018-01-01","Odisha","21",355.36,470.56,542.25,590.33
238,"2018-01-01","Other Territory","97",73.15,113.97,36.94,0.0
239,"2018-01-01","Puducherry","34",20.57,30.9,109.73,1.57
240,"2018-01-01","Punjab","03",239.73,424.34,410.81,12.64
241,"2018-01-01","Rajasthan","08",599.43,858.55,781.42,154.81
242,"2018-01-01","Sikkim","11",6.67,11.45,133.58,0.01
243,"2018-01-01","Tamil Nadu","33",1282.27,1889.36,1555.99,588.31
244,"2018-01-01","Telangana","36",586.35,856.59,768.04,525.74
245,"2018-01-01","The Dadra And Nagar Haveli And Daman And Diu","38",24.41,33.9,193.01,0.29
246,"2018-01-01","Tripura","16",11.45,16.95,3.66,0.17
247,"2018-01-01","Uttar Pradesh","09",926.94,1450.58,1339.6,957.3
248,"2018-01-01","Uttarakhand","05",153.59,268.71,825.16,14.27
249,"2018-01-01","West Bengal","19",669.53,990.88,714.51,282.96
250,"2018-02-01","Andaman And Nicobar Islands","35",8.25,11.07,0.9,0.02
251,"2018-02-01","Andhra Pradesh","28",415.89,581.44,742.9,18.25
252,"2018-02-01","Arunachal Pradesh","12",3.98,6.59,2.49,0.4
253,"2018-02-01","Assam","18",132.62,203.23,164.07,27.94
254,"2018-02-01","Bihar","10",145.59,270.19,127.62,223.39
255,"2018-02-01","Cbic","98",0.0,0.0,5.34,0.0
256,"2018-02-01","Chandigarh","04",28.06,40.63,71.95,0.42
257,"2018-02-01","Chhattisgarh","22",307.61,389.14,546.64,290.24
258,"2018-02-01","Delhi","07",703.34,930.12,1402.38,85.14
259,"2018-02-01","Goa","30",93.29,127.22,134.43,2.31
260,"2018-02-01","Gujarat","24",1590.6,2030.58,1808.78,392.78
261,"2018-02-01","Haryana","06",602.17,942.47,2471.39,340.46
262,"2018-02-01","Himachal Pradesh","02",70.64,106.8,382.8,1.45
263,"2018-02-01","Jammu And Kashmir","01",71.58,124.99,71.13,1.59
264,"2018-02-01","Jharkhand","20",260.05,341.26,795.16,360.7
265,"2018-02-01","Karnataka","29",1252.86,1713.99,2063.63,988.01
266,"2018-02-01","Kerala","32",388.95,621.16,191.15,5.6
267,"2018-02-01","Lakshadweep","31",0.57,0.59,0.13,0.0
268,"2018-02-01","Madhya Pradesh","23",424.06,578.0,560.63,397.57
269,"2018-02-01","Maharashtra","27",3265.82,4296.96,3849.35,1036.79
270,"2018-02-01","Manipur","14",3.71,7.59,1.23,0.32
271,"2018-02-01","Meghalaya","17",12.66,18.41,74.72,9.45
272,"2018-02-01","Mizoram","15",2.18,4.72,1.14,0.17
273,"2018-02-01","Nagaland","13",3.67,4.92,3.29,0.28
274,"2018-02-01","Odisha","21",356.59,486.43,517.43,621.79
275,"2018-02-01","Other Territory","97",18.88,36.52,26.83,0.0
276,"2018-02-01","Puducherry","34",17.93,28.22,92.17,0.6
277,"2018-02-01","Punjab","03",240.18,385.28,427.95,7.67
278,"2018-02-01","Rajasthan","08",565.23,763.72,835.5,142.93
279,"2018-02-01","Sikkim","11",5.5,8.58,108.64,0.02
280,"2018-02-01","Tamil Nadu","33",1250.03,1900.97,1649.87,562.25
281,"2018-02-01","Telangana","36",571.45,793.72,748.07,526.47
282,"2018-02-01","The Dadra And Nagar Haveli And Daman And Diu","38",19.22,29.18,185.33,0.18
283,"2018-02-01","Tripura","16",11.21,19.16,3.84,0.13
284,"2018-02-01","Uttar Pradesh","09",847.76,1352.37,1267.67,1129.13
285,"2018-02-01","Uttarakhand","05",140.69,274.45,730.54,20.67
286,"2018-02-01","West Bengal","19",923.9,1183.22,711.34,355.03
287,"2018-03-01","Andaman And Nicobar Islands","35",16.02,19.88,1.36,0.01
288,"2018-03-01","Andhra Pradesh","28",445.98,618.97,783.06,17.44
289,"2018-03-01","Arunachal Pradesh","12",9.98,17.65,4.8,0.01
290,"2018-03-01","Assam","18",156.08,227.99,179.35,55.09
291,"2018-03-01","Bihar","10",168.73,314.03,90.95,183.97
292,"2018-03-01","Cbic","98",0.0,0.0,55.9,0.0
293,"2018-03-01","Chandigarh","04",25.67,36.01,74.28,0.18
294,"2018-03-01","Chhattisgarh","22",368.85,454.44,684.55,321.19
295,"2018-03-01","Delhi","07",807.25,982.02,1387.39,72.63
296,"2018-03-01","Goa","30",92.8,127.21,123.66,2.81
297,"2018-03-01","Gujarat","24",1594.43,2015.66,2006.19,305.98
298,"2018-03-01","Haryana","06",666.29,1032.5,2219.06,354.05
299,"2018-03-01","Himachal Pradesh","02",72.56,119.87,417.98,0.56
300,"2018-03-01","Jammu And Kashmir","01",65.77,114.29,75.89,2.03
301,"2018-03-01","Jharkhand","20",293.03,414.0,875.05,461.59
302,"2018-03-01","Karnataka","29",1299.12,1750.6,2203.71,743.68
303,"2018-03-01","Kerala","32",403.43,613.07,228.06,4.7
304,"2018-03-01","Lakshadweep","31",0.36,0.41,0.07,0.0
305,"2018-03-01","Madhya Pradesh","23",450.41,615.62,556.98,376.81
306,"2018-03-01","Maharashtra","27",3660.45,4586.58,4139.91,944.32
307,"2018-03-01","Manipur","14",7.4,16.38,1.21,0.07
308,"2018-03-01","Meghalaya","17",12.32,18.95,69.45,4.7
309,"2018-03-01","Mizoram","15",2.88,7.28,1.3,0.01
310,"2018-03-01","Nagaland","13",2.59,5.52,3.85,0.5
311,"2018-03-01","Odisha","21",391.07,515.12,559.94,525.31
312,"2018-03-01","Other Territory","97",14.41,30.98,33.03,9.42
313,"2018-03-01","Puducherry","34",19.64,28.03,94.94,0.92
314,"2018-03-01","Punjab","03",254.85,411.28,444.57,10.27
315,"2018-03-01","Rajasthan","08",579.32,789.77,845.34,131.79
316,"2018-03-01","Sikkim","11",8.91,16.13,119.65,0.43
317,"2018-03-01","Tamil Nadu","33",1337.21,1874.31,1761.0,507.11
318,"2018-03-01","Telangana","36",641.98,903.54,846.66,407.19
319,"2018-03-01","The Dadra And Nagar Haveli And Daman And Diu","38",20.85,31.48,214.44,0.35
320,"2018-03-01","Tripura","16",15.22,22.74,7.31,0.15
321,"2018-03-01","Uttar Pradesh","09",989.8,1515.66,1338.53,939.08
322,"2018-03-01","Uttarakhand","05",162.29,303.4,777.71,21.04
323,"2018-03-01","West Bengal","19",1199.19,1494.35,765.23,297.05
324,"2018-04-01","Andaman And Nicobar Islands","35",21.27,27.06,1.69,0.03
325,"2018-04-01","Andhra Pradesh","28",529.43,812.46,883.39,25.89
326,"2018-04-01","Arunachal Pradesh","12",12.86,16.53,3.24,0.52
327,"2018-04-01","Assam","18",172.48,276.88,176.89,52.97
328,"2018-04-01","Bihar","10",205.91,425.05,108.9,173.69
329,"2018-04-01","Cbic","98",0.0,0.0,40.36,0.0
330,"2018-04-01","Chandigarh","04",33.67,46.39,101.44,0.23
331,"2018-04-01","Chhattisgarh","22",338.43,415.64,633.35,502.24
332,"2018-04-01","Delhi","07",1104.77,1331.57,1682.85,78.81
333,"2018-04-01","Goa","30",89.39,122.13,137.47,3.48
334,"2018-04-01","Gujarat","24",1701.28,2133.4,2190.05,303.9
335,"2018-04-01","Haryana","06",713.35,1100.32,2982.04,334.22
336,"2018-04-01","Himachal Pradesh","02",88.97,135.99,420.82,1.48
337,"2018-04-01","Jammu And Kashmir","01",115.22,179.62,73.98,3.24
338,"2018-04-01","Jharkhand","20",348.7,489.66,1045.35,504.82
339,"2018-04-01","Karnataka","29",1608.18,2192.43,2640.19,906.45
340,"2018-04-01","Kerala","32",457.51,702.07,232.56,4.02
341,"2018-04-01","Lakshadweep","31",1.17,1.26,0.09,0.0
342,"2018-04-01","Madhya Pradesh","23",525.89,717.05,646.84,454.56
343,"2018-04-01","Maharashtra","27",4254.07,5382.56,5963.59,1125.63
344,"2018-04-01","Manipur","14",13.9,18.42,1.49,0.03
345,"2018-04-01","Meghalaya","17",23.66,32.8,92.31,3.64
346,"2018-04-01","Mizoram","15",5.88,9.41,1.96,0.04
347,"2018-04-01","Nagaland","13",4.43,7.24,5.12,0.17
348,"2018-04-01","Odisha","21",448.98,639.24,495.94,583.64
349,"2018-04-01","Other Territory","97",7.03,18.77,53.49,0.0
350,"2018-04-01","Puducherry","34",20.67,31.38,117.98,0.22
351,"2018-04-01","Punjab","03",310.48,498.58,432.34,17.0
352,"2018-04-01","Rajasthan","08",659.25,903.88,903.75,141.83
353,"2018-04-01","Sikkim","11",11.58,15.74,123.22,0.0
354,"2018-04-01","Tamil Nadu","33",1499.28,2096.08,2395.6,674.98
355,"2018-04-01","Telangana","36",715.3,1021.27,1127.47,513.64
356,"2018-04-01","The Dadra And Nagar Haveli And Daman And Diu","38",28.75,41.26,187.56,0.14
357,"2018-04-01","Tripura","16",16.95,25.48,3.22,0.06
358,"2018-04-01","Uttar Pradesh","09",1330.07,2115.07,1545.28,1029.82
359,"2018-04-01","Uttarakhand","05",211.48,355.83,924.75,22.56
360,"2018-04-01","West Bengal","19",1017.02,1359.81,925.64,388.16
361,"2018-05-01","Andaman And Nicobar Islands","35",5.6,8.63,1.96,0.03
362,"2018-05-01","Andhra Pradesh","28",488.45,689.92,762.84,20.87
363,"2018-05-01","Arunachal Pradesh","12",9.77,15.39,4.48,0.01
364,"2018-05-01","Assam","18",314.07,399.25,185.11,25.97
365,"2018-05-01","Bihar","10",167.85,335.01,119.73,116.8
366,"2018-05-01","Cbic","98",0.0,0.0,41.07,0.0
367,"2018-05-01","Chandigarh","04",26.89,36.46,68.8,0.07
368,"2018-05-01","Chhattisgarh","22",299.94,378.1,662.44,529.11
369,"2018-05-01","Delhi","07",631.29,797.35,1402.19,84.07
370,"2018-05-01","Goa","30",78.8,106.46,129.48,2.79
371,"2018-05-01","Gujarat","24",1726.58,2177.27,2016.55,341.56
372,"2018-05-01","Haryana","06",690.59,1015.29,2515.98,351.88
373,"2018-05-01","Himachal Pradesh","02",74.38,116.83,453.85,1.05
374,"2018-05-01","Jammu And Kashmir","01",70.6,119.22,72.76,4.37
375,"2018-05-01","Jharkhand","20",251.29,358.41,893.7,454.38
376,"2018-05-01","Karnataka","29",1260.0,1691.95,2102.05,698.12
377,"2018-05-01","Kerala","32",419.93,658.95,216.05,5.47
378,"2018-05-01","Lakshadweep","31",0.06,0.06,0.02,0.0
379,"2018-05-01","Madhya Pradesh","23",383.89,555.28,527.63,396.84
380,"2018-05-01","Maharashtra","27",3684.41,4606.0,3960.49,796.5
381,"2018-05-01","Manipur","14",5.26,9.28,1.95,0.17
382,"2018-05-01","Meghalaya","17",13.72,19.92,89.94,3.02
383,"2018-05-01","Mizoram","15",3.15,6.47,4.14,0.0
384,"2018-05-01","Nagaland","13",3.14,5.98,3.99,0.32
385,"2018-05-01","Odisha","21",360.08,499.24,637.63,395.01
386,"2018-05-01","Other Territory","97",14.05,24.99,686.59,0.0
