GST Id,Date,State Name,State Code,CGST,SGST,IGST,CESS,Total_GST,Year,Month,Region_type
245,01-01-2018,The Dadra And Nagar Haveli And Daman And Diu,38,24.41,33.9,193.01,0.29,251.60999999999999,2018-01-01,1900-01-01,State
246,01-01-2018,Tripura,16,11.45,16.95,3.66,0.17,32.230000000000004,2018-01-01,1900-01-01,State
247,01-01-2018,Uttar Pradesh,9,926.94,1450.58,1339.6,957.3,4674.42,2018-01-01,1900-01-01,State
248,01-01-2018,Uttarakhand,5,153.59,268.71,825.16,14.27,1261.73,2018-01-01,1900-01-01,State
249,01-01-2018,West Bengal,19,669.53,990.88,714.51,282.96,2657.88,2018-01-01,1900-01-01,State
250,01-02-2018,Andaman And Nicobar Islands,35,8.25,11.07,0.9,0.02,20.24,2018-01-01,1900-02-01,Union Territory
251,01-02-2018,Andhra Pradesh,28,415.89,581.44,742.9,18.25,1758.48,2018-01-01,1900-02-01,State
252,01-02-2018,Arunachal Pradesh,12,3.98,6.59,2.49,0.4,13.46,2018-01-01,1900-02-01,State
253,01-02-2018,Assam,18,132.62,203.23,164.07,27.94,527.86,2018-01-01,1900-02-01,State
254,01-02-2018,Bihar,10,145.59,270.19,127.62,223.39,766.79,2018-01-01,1900-02-01,State
255,01-02-2018,Cbic,98,0.0,0.0,5.34,0.0,5.34,2018-01-01,1900-02-01,State
256,01-02-2018,Chandigarh,4,28.06,40.63,71.95,0.42,141.05999999999997,2018-01-01,1900-02-01,Union Territory
257,01-02-2018,Chhattisgarh,22,307.61,389.14,546.64,290.24,1533.6299999999999,2018-01-01,1900-02-01,State
258,01-02-2018,Delhi,7,703.34,930.12,1402.38,85.14,3120.98,2018-01-01,1900-02-01,Union Territory
259,01-02-2018,Goa,30,93.29,127.22,134.43,2.31,357.25,2018-01-01,1900-02-01,State
260,01-02-2018,Gujarat,24,1590.6,2030.58,1808.78,392.78,5822.74,2018-01-01,1900-02-01,State
261,01-02-2018,Haryana,6,602.17,942.47,2471.39,340.46,4356.49,2018-01-01,1900-02-01,State
262,01-02-2018,Himachal Pradesh,2,70.64,106.8,382.8,1.45,561.69,2018-01-01,1900-02-01,State
263,01-02-2018,Jammu And Kashmir,1,71.58,124.99,71.13,1.59,269.28999999999996,2018-01-01,1900-02-01,Union Territory
264,01-02-2018,Jharkhand,20,260.05,341.26,795.16,360.7,1757.1699999999998,2018-01-01,1900-02-01,State
265,01-02-2018,Karnataka,29,1252.86,1713.99,2063.63,988.01,6018.49,2018-01-01,1900-02-01,State
266,01-02-2018,Kerala,32,388.95,621.16,191.15,5.6,1206.86,2018-01-01,1900-02-01,State
267,01-02-2018,Lakshadweep,31,0.57,0.59,0.13,0.0,1.29,2018-01-01,1900-02-01,Union Territory
268,01-02-2018,Madhya Pradesh,23,424.06,578.0,560.63,397.57,1960.26,2018-01-01,1900-02-01,State
269,01-02-2018,Maharashtra,27,3265.82,4296.96,3849.35,1036.79,12448.920000000002,2018-01-01,1900-02-01,State
270,01-02-2018,Manipur,14,3.71,7.59,1.23,0.32,12.850000000000001,2018-01-01,1900-02-01,State
271,01-02-2018,Meghalaya,17,12.66,18.41,74.72,9.45,115.24,2018-01-01,1900-02-01,State
272,01-02-2018,Mizoram,15,2.18,4.72,1.14,0.17,8.21,2018-01-01,1900-02-01,State
273,01-02-2018,Nagaland,13,3.67,4.92,3.29,0.28,12.159999999999998,2018-01-01,1900-02-01,State
274,01-02-2018,Odisha,21,356.59,486.43,517.43,621.79,1982.2399999999998,2018-01-01,1900-02-01,State
275,01-02-2018,Other Territory,97,18.88,36.52,26.83,0.0,82.23,2018-01-01,1900-02-01,State
276,01-02-2018,Puducherry,34,17.93,28.22,92.17,0.6,138.92,2018-01-01,1900-02-01,Union Territory
277,01-02-2018,Punjab,3,240.18,385.28,427.95,7.67,1061.0800000000002,2018-01-01,1900-02-01,State
278,01-02-2018,Rajasthan,8,565.23,763.72,835.5,142.93,2307.3799999999997,2018-01-01,1900-02-01,State
279,01-02-2018,Sikkim,11,5.5,8.58,108.64,0.02,122.74,2018-01-01,1900-02-01,State
280,01-02-2018,Tamil Nadu,33,1250.03,1900.97,1649.87,562.25,5363.12,2018-01-01,1900-02-01,State
281,01-02-2018,Telangana,36,571.45,793.72,748.07,526.47,2639.71,2018-01-01,1900-02-01,State
282,01-02-2018,The Dadra And Nagar Haveli And Daman And Diu,38,19.22,29.18,185.33,0.18,233.91000000000003,2018-01-01,1900-02-01,State
283,01-02-2018,Tripura,16,11.21,19.16,3.84,0.13,34.34,2018-01-01,1900-02-01,State
284,01-02-2018,Uttar Pradesh,9,847.76,1352.37,1267.67,1129.13,4596.93,2018-01-01,1900-02-01,State
285,01-02-2018,Uttarakhand,5,140.69,274.45,730.54,20.67,1166.35,2018-01-01,1900-02-01,State
286,01-02-2018,West Bengal,19,923.9,1183.22,711.34,355.03,3173.49,2018-01-01,1900-02-01,State
287,01-03-2018,Andaman And Nicobar Islands,35,16.02,19.88,1.36,0.01,37.269999999999996,2018-01-01,1900-03-01,Union Territory
288,01-03-2018,Andhra Pradesh,28,445.98,618.97,783.06,17.44,1865.45,2018-01-01,1900-03-01,State
289,01-03-2018,Arunachal Pradesh,12,9.98,17.65,4.8,0.01,32.44,2018-01-01,1900-03-01,State
290,01-03-2018,Assam,18,156.08,227.99,179.35,55.09,618.5100000000001,2018-01-01,1900-03-01,State
291,01-03-2018,Bihar,10,168.73,314.03,90.95,183.97,757.6800000000001,2018-01-01,1900-03-01,State
292,01-03-2018,Cbic,98,0.0,0.0,55.9,0.0,55.9,2018-01-01,1900-03-01,State
293,01-03-2018,Chandigarh,4,25.67,36.01,74.28,0.18,136.14000000000001,2018-01-01,1900-03-01,Union Territory
294,01-03-2018,Chhattisgarh,22,368.85,454.44,684.55,321.19,1829.03,2018-01-01,1900-03-01,State
295,01-03-2018,Delhi,7,807.25,982.02,1387.39,72.63,3249.29,2018-01-01,1900-03-01,Union Territory
296,01-03-2018,Goa,30,92.8,127.21,123.66,2.81,346.47999999999996,2018-01-01,1900-03-01,State
297,01-03-2018,Gujarat,24,1594.43,2015.66,2006.19,305.98,5922.26,2018-01-01,1900-03-01,State
298,01-03-2018,Haryana,6,666.29,1032.5,2219.06,354.05,4271.9,2018-01-01,1900-03-01,State
299,01-03-2018,Himachal Pradesh,2,72.56,119.87,417.98,0.56,610.97,2018-01-01,1900-03-01,State
300,01-03-2018,Jammu And Kashmir,1,65.77,114.29,75.89,2.03,257.97999999999996,2018-01-01,1900-03-01,Union Territory
301,01-03-2018,Jharkhand,20,293.03,414.0,875.05,461.59,2043.6699999999998,2018-01-01,1900-03-01,State
302,01-03-2018,Karnataka,29,1299.12,1750.6,2203.71,743.68,5997.110000000001,2018-01-01,1900-03-01,State
303,01-03-2018,Kerala,32,403.43,613.07,228.06,4.7,1249.26,2018-01-01,1900-03-01,State
304,01-03-2018,Lakshadweep,31,0.36,0.41,0.07,0.0,0.8400000000000001,2018-01-01,1900-03-01,Union Territory
305,01-03-2018,Madhya Pradesh,23,450.41,615.62,556.98,376.81,1999.82,2018-01-01,1900-03-01,State
306,01-03-2018,Maharashtra,27,3660.45,4586.58,4139.91,944.32,13331.259999999998,2018-01-01,1900-03-01,State
307,01-03-2018,Manipur,14,7.4,16.38,1.21,0.07,25.060000000000002,2018-01-01,1900-03-01,State
308,01-03-2018,Meghalaya,17,12.32,18.95,69.45,4.7,105.42,2018-01-01,1900-03-01,State
309,01-03-2018,Mizoram,15,2.88,7.28,1.3,0.01,11.47,2018-01-01,1900-03-01,State
310,01-03-2018,Nagaland,13,2.59,5.52,3.85,0.5,12.459999999999999,2018-01-01,1900-03-01,State
311,01-03-2018,Odisha,21,391.07,515.12,559.94,525.31,1991.44,2018-01-01,1900-03-01,State
312,01-03-2018,Other Territory,97,14.41,30.98,33.03,9.42,87.84,2018-01-01,1900-03-01,State
313,01-03-2018,Puducherry,34,19.64,28.03,94.94,0.92,143.53,2018-01-01,1900-03-01,Union Territory
314,01-03-2018,Punjab,3,254.85,411.28,444.57,10.27,1120.97,2018-01-01,1900-03-01,State
315,01-03-2018,Rajasthan,8,579.32,789.77,845.34,131.79,2346.2200000000003,2018-01-01,1900-03-01,State
316,01-03-2018,Sikkim,11,8.91,16.13,119.65,0.43,145.12,2018-01-01,1900-03-01,State
317,01-03-2018,Tamil Nadu,33,1337.21,1874.31,1761.0,507.11,5479.63,2018-01-01,1900-03-01,State
318,01-03-2018,Telangana,36,641.98,903.54,846.66,407.19,2799.37,2018-01-01,1900-03-01,State
